model,task,context_length,depth_pct,question,expected_answer,model_response,prompt_tokens,completion_tokens,cached_tokens,tokens_used,latency_s,response_chars,question_chars,context_chars,sample_id,experiment,variant,needle_style,domain,difficulty,answer_type,num_needles,distractor_count,target_needle_id,inserted_needles,hops,scoring_mode,answer_aliases,error,judge_score,judge_reason,judge_method,em_score,lexical_contains_score,contains_score,judge_status,score_source,expected_answer_chars,row_cost_cny,contains_per_1k_output_tokens,contains_per_cny,api_failed,content_filter,infra_api_failed,eval_valid
deepseek,niah,2000,0.0,董事会最终批准的年度自由现金流目标是多少？,9.4亿元,9.4亿元,1413,4,0,1417,0.53,5,21,1765,v2-niah-2000-0-00-finance_multi_key_fcf,v2,multi_key,multi_key,finance,hard,numeric,3,2.0,finance_multi_key_fcf,"[""董事会最终批准的年度自由现金流目标为 9.4 亿元。"", ""上一财年的自由现金流实际完成值为 7.9 亿元。"", ""财务部早期草案曾讨论将年度自由现金流目标设为 8.7 亿元，但该方案未获批准。""]",,,,,,,,1,1,1,not_required,lexical,5,0.001421,250.0,703.7297677691766,0,0,0,1
deepseek,niah,2000,0.0,本季度封装段一次良率目标是多少？,98.2%,98.2%,1274,4,0,1278,0.48,5,16,1886,v2-niah-2000-0-01-manufacturing_yield_target,v2,style_aligned,style_aligned,manufacturing,medium,numeric,1,0.0,manufacturing_yield_target,"[""产线月度经营复盘中明确，本季度封装段一次良率目标为 98.2%。""]",,,,,,,,1,1,1,not_required,lexical,5,0.001282,250.0,780.0312012480499,0,0,0,1
deepseek,niah,2000,0.0,区域配送的 SLA 指标是多少？,92.1%,92.1%,1170,4,0,1174,0.58,5,16,1920,v2-niah-2000-0-02-logistics_numeric_confusable_sla,v2,numeric_confusable,numeric_confusable,logistics,hard,numeric,1,0.0,logistics_numeric_confusable_sla,"[""区域配送周报同时列出 96.4% 的妥投率和 92.1% 的 24 小时履约率，其中 SLA 对外口径指 24 小时履约率。""]",,,,,,,,1,1,1,not_required,lexical,5,0.001178,250.0,848.8964346349745,0,0,0,1
deepseek,niah,2000,0.0,董事会最终批准的年度自由现金流目标是多少？,9.4亿元,9.4亿元,1375,4,0,1379,0.84,5,21,1732,v2-niah-2000-0-03-finance_multi_key_fcf,v2,multi_key,multi_key,finance,hard,numeric,3,2.0,finance_multi_key_fcf,"[""董事会最终批准的年度自由现金流目标为 9.4 亿元。"", ""上一财年的自由现金流实际完成值为 7.9 亿元。"", ""财务部早期草案曾讨论将年度自由现金流目标设为 8.7 亿元，但该方案未获批准。""]",,,,,,,,1,1,1,not_required,lexical,5,0.001383,250.0,723.0657989877079,0,0,0,1
deepseek,niah,2000,0.0,本季度封装段一次良率目标是多少？,98.2%,98.2%,1274,4,1152,1278,0.51,5,16,1886,v2-niah-2000-0-04-manufacturing_yield_target,v2,style_aligned,style_aligned,manufacturing,medium,numeric,1,0.0,manufacturing_yield_target,"[""产线月度经营复盘中明确，本季度封装段一次良率目标为 98.2%。""]",,,,,,,,1,1,1,not_required,lexical,5,0.000245,250.0,4081.6326530612246,0,0,0,1
deepseek,niah,2000,0.0,同店销售额同比增长了多少？,8.9%,8.9%,1062,4,0,1066,0.39,4,13,1920,v2-niah-2000-0-05-retail_numeric_confusable_growth,v2,numeric_confusable,numeric_confusable,retail,hard,numeric,1,0.0,retail_numeric_confusable_growth,"[""门店运营简报写明，同店销售额同比增长 8.9%，会员复购率提升 3.2 个百分点，问题若仅问销售增长应返回同店销售额同比增幅。""]",,,,,,,,1,1,1,not_required,lexical,4,0.00107,250.0,934.5794392523364,0,0,0,1
deepseek,niah,2000,0.0,院务会最终批准的日间手术中心新增床位数是多少？,42张,42张,1145,2,0,1147,0.59,3,23,1681,v2-niah-2000-0-06-healthcare_multi_key_bed_plan,v2,multi_key,multi_key,healthcare,hard,numeric,3,2.0,healthcare_multi_key_bed_plan,"[""院务会最终批准的日间手术中心新增床位数为 42 张。"", ""去年同院区普通病房实际新增床位数为 28 张。"", ""规划部门的测算底稿曾建议新增 36 张床位以控制初期成本。""]",,,,,,,,1,1,1,not_required,lexical,3,0.001149,500.0,870.3220191470843,0,0,0,1
deepseek,niah,2000,0.0,本季度封装段一次良率目标是多少？,98.2%,98.2%,1050,4,0,1054,0.43,5,16,1919,v2-niah-2000-0-07-manufacturing_yield_target,v2,style_aligned,style_aligned,manufacturing,medium,numeric,1,0.0,manufacturing_yield_target,"[""产线月度经营复盘中明确，本季度封装段一次良率目标为 98.2%。""]",,,,,,,,1,1,1,not_required,lexical,5,0.001058,250.0,945.179584120983,0,0,0,1
deepseek,niah,2000,0.0,同店销售额同比增长了多少？,8.9%,8.9%,1062,4,1024,1066,0.66,4,13,1920,v2-niah-2000-0-08-retail_numeric_confusable_growth,v2,numeric_confusable,numeric_confusable,retail,hard,numeric,1,0.0,retail_numeric_confusable_growth,"[""门店运营简报写明，同店销售额同比增长 8.9%，会员复购率提升 3.2 个百分点，问题若仅问销售增长应返回同店销售额同比增幅。""]",,,,,,,,1,1,1,not_required,lexical,4,0.000148,250.0,6756.756756756757,0,0,0,1
deepseek,niah,2000,0.0,院务会最终批准的日间手术中心新增床位数是多少？,42张,42张。,1407,3,0,1410,0.48,4,23,1764,v2-niah-2000-0-09-healthcare_multi_key_bed_plan,v2,multi_key,multi_key,healthcare,hard,numeric,3,2.0,healthcare_multi_key_bed_plan,"[""院务会最终批准的日间手术中心新增床位数为 42 张。"", ""去年同院区普通病房实际新增床位数为 28 张。"", ""规划部门的测算底稿曾建议新增 36 张床位以控制初期成本。""]",,,,,,,,0,1,1,not_required,lexical,3,0.001413,333.3333333333333,707.7140835102618,0,0,0,1
deepseek,niah,2000,10.0,公司 2025 年资本开支上限是多少？,18.6亿元,18.6亿元,1576,4,128,1580,0.51,6,19,1895,v2-niah-2000-10-00-finance_capex_budget,v2,style_aligned,style_aligned,finance,medium,numeric,1,0.0,finance_capex_budget,"[""根据董事会审议通过的预算方案，公司 2025 年资本开支上限为 18.6 亿元。""]",,,,,,,,1,1,1,not_required,lexical,6,0.001469,250.0,680.7351940095302,0,0,0,1
deepseek,niah,2000,10.0,区域配送的 SLA 指标是多少？,92.1%,24小时履约率。,1170,5,0,1175,0.77,8,16,1920,v2-niah-2000-10-01-logistics_numeric_confusable_sla,v2,numeric_confusable,numeric_confusable,logistics,hard,numeric,1,0.0,logistics_numeric_confusable_sla,"[""区域配送周报同时列出 96.4% 的妥投率和 92.1% 的 24 小时履约率，其中 SLA 对外口径指 24 小时履约率。""]",,,,,,,,0,0,0,not_required,lexical,5,0.00118,0.0,0.0,0,0,0,1
deepseek,niah,2000,10.0,董事会最终批准的年度自由现金流目标是多少？,9.4亿元,9.4亿元,1275,4,0,1279,0.64,5,21,1721,v2-niah-2000-10-02-finance_multi_key_fcf,v2,multi_key,multi_key,finance,hard,numeric,3,2.0,finance_multi_key_fcf,"[""董事会最终批准的年度自由现金流目标为 9.4 亿元。"", ""上一财年的自由现金流实际完成值为 7.9 亿元。"", ""财务部早期草案曾讨论将年度自由现金流目标设为 8.7 亿元，但该方案未获批准。""]",,,,,,,,1,1,1,not_required,lexical,5,0.001283,250.0,779.423226812159,0,0,0,1
deepseek,niah,2000,10.0,公司 2025 年资本开支上限是多少？,18.6亿元,18.6亿元。,1537,5,0,1542,1.22,7,19,1922,v2-niah-2000-10-03-finance_capex_budget,v2,style_aligned,style_aligned,finance,medium,numeric,1,0.0,finance_capex_budget,"[""根据董事会审议通过的预算方案，公司 2025 年资本开支上限为 18.6 亿元。""]",,,,,,,,0,1,1,not_required,lexical,6,0.001547,200.0,646.4124111182934,0,0,0,1
deepseek,niah,2000,10.0,2025 年一季度综合毛利率是多少？,23.7%,23.7%,1344,4,0,1348,0.83,5,18,1900,v2-niah-2000-10-04-finance_numeric_confusable_margin,v2,numeric_confusable,numeric_confusable,finance,hard,numeric,1,0.0,finance_numeric_confusable_margin,"[""管理层说明指出，2025 年一季度综合毛利率为 23.7%，营业利润率为 11.4%，其中对外披露口径要求优先引用综合毛利率。""]",,,,,,,,1,1,1,not_required,lexical,5,0.001352,250.0,739.6449704142012,0,0,0,1
deepseek,niah,2000,10.0,A3 产线切换到新工艺的正式日期是哪天？,2025年6月18日,2025年6月18日,1259,7,0,1266,1.14,10,20,1753,v2-niah-2000-10-05-manufacturing_multi_key_line_switch,v2,multi_key,multi_key,manufacturing,hard,short_span,3,2.0,manufacturing_multi_key_line_switch,"[""工厂排产会上确认，A3 产线切换到新工艺的正式日期为 2025 年 6 月 18 日。"", ""A2 产线切换到同类工艺的历史日期为 2025 年 5 月 30 日。"", ""工程试跑记录显示，A3 产线在 2025 年 6 月 12 日完成了小批量验证。""]",,,,,,,,1,1,1,not_required,lexical,10,0.001273,142.85714285714286,785.5459544383347,0,0,0,1
deepseek,niah,2000,10.0,急诊药房重点监控药品的库存周转天数是多少？,6.5天,6.5天。,1123,5,0,1128,0.39,5,21,1867,v2-niah-2000-10-06-healthcare_inventory_turnover,v2,style_aligned,style_aligned,healthcare,medium,short_span,1,0.0,healthcare_inventory_turnover,"[""院内周报显示，急诊药房的重点监控药品库存周转天数已压缩至 6.5 天。""]",,,,,,,,0,1,1,not_required,lexical,4,0.001133,200.0,882.6125330979701,0,0,0,1
