context_length,model,n_total,n_valid,n_api_failed,contains_pct_all,contains_pct_valid
2000,deepseek,70,70,0,97.1,97.1
2000,kimi,70,70,0,90.0,90.0
2000,qwen,70,70,0,87.1,87.1
4000,deepseek,70,63,7,88.6,98.4
4000,kimi,70,63,7,81.4,90.5
4000,qwen,70,63,7,78.6,87.3
8000,deepseek,70,61,9,82.9,95.1
8000,kimi,70,61,9,82.9,95.1
8000,qwen,70,61,9,75.7,86.9
16000,deepseek,70,64,6,85.7,93.8
16000,kimi,70,64,6,88.6,96.9
16000,qwen,70,64,6,82.9,90.6
32000,deepseek,70,70,0,98.6,98.6
32000,kimi,70,27,43,38.6,100.0
32000,qwen,70,61,9,82.9,95.1
