model,context_length,n,eval_valid,content_filter,infra_api_failed,eval_valid_pct,content_filter_pct
deepseek,2000,70,70,0,0,100.0,0.0
deepseek,4000,70,63,0,7,90.0,0.0
deepseek,8000,70,61,0,9,87.1,0.0
deepseek,16000,70,64,0,6,91.4,0.0
deepseek,32000,70,70,0,0,100.0,0.0
kimi,2000,70,70,0,0,100.0,0.0
kimi,4000,70,63,7,0,90.0,10.0
kimi,8000,70,61,9,0,87.1,12.9
kimi,16000,70,64,6,0,91.4,8.6
kimi,32000,70,61,9,0,87.1,12.9
qwen,2000,70,70,0,0,100.0,0.0
qwen,4000,70,63,0,7,90.0,0.0
qwen,8000,70,61,0,9,87.1,0.0
qwen,16000,70,64,0,6,91.4,0.0
qwen,32000,70,61,0,9,87.1,0.0
