model,task,context_length,depth_pct,question,expected_answer,model_response,tokens_used,latency_s,prompt_tokens,completion_tokens,cached_tokens
deepseek,niah,2000,0,公司今年第三季度净利润是多少？,47.3亿元人民币,47.3亿元人民币,1344,0.78,,,
deepseek,niah,2000,0,李明的员工编号是多少？,EMP-2024-08831,EMP-2024-08831,1567,0.85,,,
deepseek,niah,2000,10,公司今年第三季度净利润是多少？,47.3亿元人民币,47.3亿元人民币,1344,0.97,,,
deepseek,niah,2000,10,公司今年第三季度净利润是多少？,47.3亿元人民币,47.3亿元人民币。,1358,0.47,,,
deepseek,niah,2000,25,内部项目代号是什么，启动日期是哪天？,暗星计划，2024年11月8日,内部项目代号为“暗星计划”，正式启动日期为2024年11月8日。,1145,0.7,,,
deepseek,niah,2000,25,张伟的私人银行账户密码是什么？,X7K9-BLUE-2024,X7K9-BLUE-2024,1125,0.84,,,
deepseek,niah,2000,25,张伟的私人银行账户密码是什么？,X7K9-BLUE-2024,X7K9-BLUE-2024,1579,0.88,,,
deepseek,niah,2000,50,首席技术官王磊的直线电话是多少？,010-88887777转301,010-88887777 转 301,1126,0.53,,,
deepseek,niah,2000,75,张伟的私人银行账户密码是什么？,X7K9-BLUE-2024,X7K9-BLUE-2024,1054,0.97,,,
deepseek,niah,2000,75,李明的员工编号是多少？,EMP-2024-08831,EMP-2024-08831,1508,0.66,,,
deepseek,niah,2000,90,内部项目代号是什么，启动日期是哪天？,暗星计划，2024年11月8日,内部项目代号为“暗星计划”，启动日期为2024年11月8日。,1390,0.99,,,
deepseek,niah,2000,90,本次合并的换股比例是多少？,每3股A公司股票换1股B公司股票,每3股A公司股票换1股B公司股票。,1528,0.51,,,
deepseek,niah,2000,100,公司今年第三季度净利润是多少？,47.3亿元人民币,47.3亿元人民币,1155,0.55,,,
deepseek,niah,2000,100,数据中心备用电源的启动口令是什么？,GoldenKey-7749,GoldenKey-7749,1042,0.56,,,
deepseek,niah,4000,0,张伟的私人银行账户密码是什么？,X7K9-BLUE-2024,X7K9-BLUE-2024,1762,0.62,,,
deepseek,niah,4000,0,数据中心备用电源的启动口令是什么？,GoldenKey-7749,GoldenKey-7749,3063,0.5,,,
deepseek,niah,4000,0,李明的员工编号是多少？,EMP-2024-08831,EMP-2024-08831,3036,0.43,,,
